site,lat,long,day,month,year,dive_team,time,survey_time,species,arm_type,arm_number,substrate,depth_m,feeding,colour
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,5,NF,D
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,5,F,D
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,5,NF,D
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,5,NF,R
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,3.4,F,D
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,5,NF,D
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,4.3,F,D
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,4,F,D
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,4,NF,D
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,4,NF,D
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,4.3,NF,D
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,4.1,NF,D
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,3.9,NF,D
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,abnormal,6,R,4,F,D
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,4.1,NA,R
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,4.3,F,R
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,4,F,NA
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,4,NF,D
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,4,F,D
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,3.9,F,D
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,4.2,F,R
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,3.9,NF,R
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,3.9,F,R
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,4,F,R
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,4.1,NF,R
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,4.2,NF,D
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,abnormal,6,R,4.5,F,D
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,abnormal,6,R,4.5,NF,D
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,4.5,F,R
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,abnormal,6,R,4.5,F,R
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,bat,normal,5,R,4.5,F,D
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,painted,normal,5,NA,NA,NA,NA
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,painted,normal,5,NA,NA,NA,NA
Ross_Main,48°52.427' N,125°9.579' W,9,6,2022,QuinnSierra,1136,30,painted,normal,5,NA,NA,NA,NA
