site,Patiria miniata,Dermasterias imbricata,Pisaster ochraceus,Orthasterias koehleri,Henricia sp.,Evasterias troschelii,Mediaster aequalis,Stylasterias forreri,Pisaster brevispinus,Site mean ± sd
Aguilar,"8.57, n = 70","0, n = 96","0, n = 57","0, n = 65","0, n = 20","0, n = 5","0, n = 2",NA,NA,1.22 ± 3.24
BMSC Dock,"20, n = 5","0, n = 67","0, n = 9","0, n = 17","0, n = 3","0, n = 18","0, n = 1",NA,NA,2.86 ± 7.56
Cia,"5.71, n = 35","2.5, n = 80","0, n = 9","0, n = 51","0, n = 27","0, n = 17",NA,NA,NA,1.37 ± 2.35
Dixon Inside,"8.87, n = 124","0, n = 56","0, n = 1","0, n = 28","0, n = 8","0, n = 15",NA,NA,NA,1.48 ± 3.62
Dodger Channel,"3.64, n = 55","0, n = 28","0, n = 22","0, n = 17","0, n = 12","0, n = 5",NA,"8.33, n = 12",NA,1.71 ± 3.22
Ellis Island,"4.68, n = 342","0, n = 9",NA,"0, n = 8",NA,"0, n = 13",NA,NA,NA,1.17 ± 2.34
Goby Town,"1.82, n = 55","0, n = 24","0, n = 5","0, n = 11","0, n = 4","0, n = 7",NA,NA,NA,0.3 ± 0.74
Ohiat,"20.41, n = 49","2.08, n = 48","2.04, n = 49","0, n = 57","0, n = 1","0, n = 1",NA,NA,NA,4.09 ± 8.06
Ross Main,"10.17, n = 59","0, n = 7","0, n = 1","0, n = 20",NA,"0, n = 2","0, n = 1",NA,"0, n = 1",1.45 ± 3.84
Ross North,"24.3, n = 107","0, n = 38","0, n = 1","0, n = 33",NA,"0, n = 4","0, n = 1",NA,NA,4.05 ± 9.92
Ross Slug,"14.29, n = 28","0, n = 22",NA,"0, n = 11","0, n = 1","0, n = 7",NA,NA,NA,2.86 ± 6.39
Ross South,"10.45, n = 67","0, n = 15","0, n = 1","0, n = 26","0, n = 2",NA,NA,NA,NA,2.09 ± 4.67
Scott's Outside,"16, n = 25","0, n = 13",NA,"0, n = 1","0, n = 8","0, n = 5",NA,NA,"0, n = 1",2.67 ± 6.53
Scotts Inside,"10.2, n = 49","0, n = 20","0, n = 17",NA,NA,"0, n = 5",NA,NA,NA,2.55 ± 5.1
Wizard North,"5.56, n = 36","0, n = 25","0, n = 1","0, n = 46","0, n = 15","0, n = 1",NA,"0, n = 1",NA,0.79 ± 2.1
Wizard South,"0, n = 10","5, n = 60","0, n = 2","0, n = 83","0, n = 32","0, n = 1","0, n = 4","0, n = 4",NA,0.62 ± 1.77
Species mean ± sd,10.29 ± 7.04,0.6 ± 1.41,0.16 ± 0.57,0 ± 0,0 ± 0,0 ± 0,0 ± 0,2.78 ± 4.81,0 ± 0,NA
